评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Dee329,Gold and pearl buttons were a nice touch to the Victorian shirt.,https://www.amazon.com/gp/customer-reviews/R2S3ND26VO6BEA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"4.0 "," the United States "," December 28, 2024",Size: 8Color: White,Verified Purchase,"Loved the shirt, it was perfect for our murder mystery event , I had to dress Victorian .",
Maria,Love the look!,https://www.amazon.com/gp/customer-reviews/R12RHTB2U1PIXD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," December 23, 2024",Size: 14Color: White,Verified Purchase,Bought this shirt for our Christmas party that was National Lampoons Griswold Family Christmas themed! The shirt and the look was a hit but also one I can wear for nice occasions with jeans or slacks. Good quality and pretty buttons. Hope this lasts after several washes.,
Geri Reski,Beautiful!,https://www.amazon.com/gp/customer-reviews/RKDDSR219SFZ5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," December 20, 2024",Size: 10Color: White,Verified Purchase,Will be wearing tonight to dinner at a fine dining restaurant…with a black blazer having velvet on collar and sleeve ends. Will be stunning! Highly recommended .,
Amazon Customer,Gorgeous and well fitted,https://www.amazon.com/gp/customer-reviews/R1W375YN8EUFXW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," December 19, 2024",Size: 10Color: Spread Collar White,Verified Purchase,Love that it tapers to the waist!,
Nayeli,Size Up for Plus Size Peeps,https://www.amazon.com/gp/customer-reviews/R1C2JYTYG0W6OQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," December 18, 2024",Size: 20Color: White,Verified Purchase,"I almost got this one size up, but when I read other reviews I decided to go with the size 20 and it was the right way to go. The material is a bit stretchy so it didn't feel like it was tight or restrictive. Very cute top for what I wanted. The bottons do open up a bit, but this might be an issue for any larger busted person. The material is soft, it is a bit see through but I am wearing something over it so it will hide a darker colored bra underneath well enough. But if you are in between sizes, definitely size up! When the shirt arrived it was a ""7XL"" in Asia measurement sizing per the tag, vs online saying US 20.",
Mayqueen,OK until you wash it,https://www.amazon.com/gp/customer-reviews/R340A23M42KGDE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"2.0 "," the United States "," December 9, 2024",Size: 10Color: White,,"these blouses are polyester but look pretty nice, right up until you wash them. Then the trim becomes embedded in the lace on the top portion. I'm working with dozens of these for a theatrical production and every day I have to manually cut filaments of the lace with scissors to separate it from the trim so the blouse will lie flat again. and they look worse by the day. Major design flaw.",
Amazon Customer,Do not iron.,https://www.amazon.com/gp/customer-reviews/R1RBAGCJWUNUOH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"3.0 "," the United States "," November 24, 2024",Size: 12Color: White,Verified Purchase,"Before wearing the first time I tried to iron out the wrinkles.  I barely touched the sleeve when the fabric as tuck to the iron creating large holes.  The blouse was very pretty, but I can't afford to replace it.",
E,Fits Perfectly!,https://www.amazon.com/gp/customer-reviews/R14IA65F2O39LC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," November 23, 2024",Size: 4Color: Black,Verified Purchase,"I'm about 5'2"" and 110-115lbs, so I wasn't expecting much since I have a hard time finding clothes that fit nice. Things are normally slightly too big or too small. This shirt fits like it was tailored! It's also very soft. Great find!",
Keri,Perfect fit and great quality,https://www.amazon.com/gp/customer-reviews/R2O3IDC09DV3J1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," November 22, 2024",Size: 6Color: White,Verified Purchase,Surprisingly great quality and great fit,
Punklynn,Fit,https://www.amazon.com/gp/customer-reviews/R38HAJVDL6UCZH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," November 22, 2024",Size: 6Color: White,Verified Purchase,This blouse is exactly what I was looking for. I like how it fits. My only concern is the material it seems like it will snag if I’m not careful. Hopefully they will make this in a cotton version.,
S. Cloppert,Perfect fit,https://www.amazon.com/gp/customer-reviews/R1DIJ2DR3K3B9Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," November 18, 2024",Size: 8Color: White,Verified Purchase,The fabric isn’t the best but I ordered my normal size and it fit perfectly. I’m using it for a costume role and will change out the buttons to look more late 19th century. I intend to wash the first time by hand or on delicate as I am not sure how it will look until after the first washing.,
